0 0 ['38d2m42s', '111d3m31s'] ['38d2m42s', '111d0m0s'] ['38d0m0s', '111d3m31s'] ['38d0m0s', '111d0m0s'] 1970
170 0 ['38d2m42s', '121d1m21s'] ['38d2m42s', '120d57m50s'] ['38d0m0s', '121d1m21s'] ['38d0m0s', '120d57m50s'] 91
171 0 ['38d2m42s', '121d4m52s'] ['38d2m42s', '121d1m21s'] ['38d0m0s', '121d4m52s'] ['38d0m0s', '121d1m21s'] 55
172 0 ['38d2m42s', '121d8m23s'] ['38d2m42s', '121d4m52s'] ['38d0m0s', '121d8m23s'] ['38d0m0s', '121d4m52s'] 41
173 0 ['38d2m42s', '121d11m54s'] ['38d2m42s', '121d8m23s'] ['38d0m0s', '121d11m54s'] ['38d0m0s', '121d8m23s'] 35
174 0 ['38d2m42s', '121d15m25s'] ['38d2m42s', '121d11m54s'] ['38d0m0s', '121d15m25s'] ['38d0m0s', '121d11m54s'] 28
175 0 ['38d2m42s', '121d18m56s'] ['38d2m42s', '121d15m25s'] ['38d0m0s', '121d18m56s'] ['38d0m0s', '121d15m25s'] 23
176 0 ['38d2m42s', '121d22m27s'] ['38d2m42s', '121d18m56s'] ['38d0m0s', '121d22m27s'] ['38d0m0s', '121d18m56s'] 16
177 0 ['38d2m42s', '121d25m58s'] ['38d2m42s', '121d22m27s'] ['38d0m0s', '121d25m58s'] ['38d0m0s', '121d22m27s'] 12
178 0 ['38d2m42s', '121d29m29s'] ['38d2m42s', '121d25m58s'] ['38d0m0s', '121d29m29s'] ['38d0m0s', '121d25m58s'] 15
179 0 ['38d2m42s', '121d33m0s'] ['38d2m42s', '121d29m29s'] ['38d0m0s', '121d33m0s'] ['38d0m0s', '121d29m29s'] 9
180 0 ['38d2m42s', '121d36m31s'] ['38d2m42s', '121d33m0s'] ['38d0m0s', '121d36m31s'] ['38d0m0s', '121d33m0s'] 17
181 0 ['38d2m42s', '121d40m2s'] ['38d2m42s', '121d36m31s'] ['38d0m0s', '121d40m2s'] ['38d0m0s', '121d36m31s'] 25
182 0 ['38d2m42s', '121d43m33s'] ['38d2m42s', '121d40m2s'] ['38d0m0s', '121d43m33s'] ['38d0m0s', '121d40m2s'] 17
183 0 ['38d2m42s', '121d47m4s'] ['38d2m42s', '121d43m33s'] ['38d0m0s', '121d47m4s'] ['38d0m0s', '121d43m33s'] 29
184 0 ['38d2m42s', '121d50m35s'] ['38d2m42s', '121d47m4s'] ['38d0m0s', '121d50m35s'] ['38d0m0s', '121d47m4s'] 31
185 0 ['38d2m42s', '121d54m6s'] ['38d2m42s', '121d50m35s'] ['38d0m0s', '121d54m6s'] ['38d0m0s', '121d50m35s'] 76
186 0 ['38d2m42s', '121d57m37s'] ['38d2m42s', '121d54m6s'] ['38d0m0s', '121d57m37s'] ['38d0m0s', '121d54m6s'] 287
187 0 ['38d2m42s', '122d1m8s'] ['38d2m42s', '121d57m37s'] ['38d0m0s', '122d1m8s'] ['38d0m0s', '121d57m37s'] 278
188 0 ['38d2m42s', '122d4m39s'] ['38d2m42s', '122d1m8s'] ['38d0m0s', '122d4m39s'] ['38d0m0s', '122d1m8s'] 181
189 0 ['38d2m42s', '122d8m10s'] ['38d2m42s', '122d4m39s'] ['38d0m0s', '122d8m10s'] ['38d0m0s', '122d4m39s'] 88
190 0 ['38d2m42s', '122d11m41s'] ['38d2m42s', '122d8m10s'] ['38d0m0s', '122d11m41s'] ['38d0m0s', '122d8m10s'] 290
191 0 ['38d2m42s', '122d15m12s'] ['38d2m42s', '122d11m41s'] ['38d0m0s', '122d15m12s'] ['38d0m0s', '122d11m41s'] 271
192 0 ['38d2m42s', '122d18m43s'] ['38d2m42s', '122d15m12s'] ['38d0m0s', '122d18m43s'] ['38d0m0s', '122d15m12s'] 96
193 0 ['38d2m42s', '122d22m14s'] ['38d2m42s', '122d18m43s'] ['38d0m0s', '122d22m14s'] ['38d0m0s', '122d18m43s'] 60
194 0 ['38d2m42s', '122d25m45s'] ['38d2m42s', '122d22m14s'] ['38d0m0s', '122d25m45s'] ['38d0m0s', '122d22m14s'] 0
195 0 ['38d2m42s', '122d29m16s'] ['38d2m42s', '122d25m45s'] ['38d0m0s', '122d29m16s'] ['38d0m0s', '122d25m45s'] 149
196 0 ['38d2m42s', '122d32m47s'] ['38d2m42s', '122d29m16s'] ['38d0m0s', '122d32m47s'] ['38d0m0s', '122d29m16s'] 266
197 0 ['38d2m42s', '122d36m18s'] ['38d2m42s', '122d32m47s'] ['38d0m0s', '122d36m18s'] ['38d0m0s', '122d32m47s'] 425
198 0 ['38d2m42s', '122d39m49s'] ['38d2m42s', '122d36m18s'] ['38d0m0s', '122d39m49s'] ['38d0m0s', '122d36m18s'] 480
199 0 ['38d2m42s', '122d43m20s'] ['38d2m42s', '122d39m49s'] ['38d0m0s', '122d43m20s'] ['38d0m0s', '122d39m49s'] 438
200 0 ['38d2m42s', '122d46m51s'] ['38d2m42s', '122d43m20s'] ['38d0m0s', '122d46m51s'] ['38d0m0s', '122d43m20s'] 424
201 0 ['38d2m42s', '122d50m22s'] ['38d2m42s', '122d46m51s'] ['38d0m0s', '122d50m22s'] ['38d0m0s', '122d46m51s'] 439
202 0 ['38d2m42s', '122d53m53s'] ['38d2m42s', '122d50m22s'] ['38d0m0s', '122d53m53s'] ['38d0m0s', '122d50m22s'] 268
203 0 ['38d2m42s', '122d57m24s'] ['38d2m42s', '122d53m53s'] ['38d0m0s', '122d57m24s'] ['38d0m0s', '122d53m53s'] 83
204 0 ['38d2m42s', '123d0m55s'] ['38d2m42s', '122d57m24s'] ['38d0m0s', '123d0m55s'] ['38d0m0s', '122d57m24s'] 137
205 0 ['38d2m42s', '123d4m26s'] ['38d2m42s', '123d0m55s'] ['38d0m0s', '123d4m26s'] ['38d0m0s', '123d0m55s'] 22
206 0 ['38d2m42s', '123d7m57s'] ['38d2m42s', '123d4m26s'] ['38d0m0s', '123d7m57s'] ['38d0m0s', '123d4m26s'] 0
207 0 ['38d2m42s', '123d11m28s'] ['38d2m42s', '123d7m57s'] ['38d0m0s', '123d11m28s'] ['38d0m0s', '123d7m57s'] 0
208 0 ['38d2m42s', '123d14m59s'] ['38d2m42s', '123d11m28s'] ['38d0m0s', '123d14m59s'] ['38d0m0s', '123d11m28s'] 0
209 0 ['38d2m42s', '123d18m30s'] ['38d2m42s', '123d14m59s'] ['38d0m0s', '123d18m30s'] ['38d0m0s', '123d14m59s'] 0
210 0 ['38d2m42s', '123d22m1s'] ['38d2m42s', '123d18m30s'] ['38d0m0s', '123d22m1s'] ['38d0m0s', '123d18m30s'] 0
211 0 ['38d2m42s', '123d25m32s'] ['38d2m42s', '123d22m1s'] ['38d0m0s', '123d25m32s'] ['38d0m0s', '123d22m1s'] 0
212 0 ['38d2m42s', '123d29m3s'] ['38d2m42s', '123d25m32s'] ['38d0m0s', '123d29m3s'] ['38d0m0s', '123d25m32s'] 0
213 0 ['38d2m42s', '123d32m34s'] ['38d2m42s', '123d29m3s'] ['38d0m0s', '123d32m34s'] ['38d0m0s', '123d29m3s'] 0
214 0 ['38d2m42s', '123d36m5s'] ['38d2m42s', '123d32m34s'] ['38d0m0s', '123d36m5s'] ['38d0m0s', '123d32m34s'] 0
215 0 ['38d2m42s', '123d39m36s'] ['38d2m42s', '123d36m5s'] ['38d0m0s', '123d39m36s'] ['38d0m0s', '123d36m5s'] 0
216 0 ['38d2m42s', '123d43m7s'] ['38d2m42s', '123d39m36s'] ['38d0m0s', '123d43m7s'] ['38d0m0s', '123d39m36s'] 0
217 0 ['38d2m42s', '123d46m38s'] ['38d2m42s', '123d43m7s'] ['38d0m0s', '123d46m38s'] ['38d0m0s', '123d43m7s'] 0
218 0 ['38d2m42s', '123d50m9s'] ['38d2m42s', '123d46m38s'] ['38d0m0s', '123d50m9s'] ['38d0m0s', '123d46m38s'] 0
219 0 ['38d2m42s', '123d53m40s'] ['38d2m42s', '123d50m9s'] ['38d0m0s', '123d53m40s'] ['38d0m0s', '123d50m9s'] 0
220 0 ['38d2m42s', '123d57m11s'] ['38d2m42s', '123d53m40s'] ['38d0m0s', '123d57m11s'] ['38d0m0s', '123d53m40s'] 0
221 0 ['38d2m42s', '124d0m42s'] ['38d2m42s', '123d57m11s'] ['38d0m0s', '124d0m42s'] ['38d0m0s', '123d57m11s'] 0
222 0 ['38d2m42s', '124d4m13s'] ['38d2m42s', '124d0m42s'] ['38d0m0s', '124d4m13s'] ['38d0m0s', '124d0m42s'] 0
223 0 ['38d2m42s', '124d7m44s'] ['38d2m42s', '124d4m13s'] ['38d0m0s', '124d7m44s'] ['38d0m0s', '124d4m13s'] 0
224 0 ['38d2m42s', '124d11m15s'] ['38d2m42s', '124d7m44s'] ['38d0m0s', '124d11m15s'] ['38d0m0s', '124d7m44s'] 0
225 0 ['38d2m42s', '124d14m46s'] ['38d2m42s', '124d11m15s'] ['38d0m0s', '124d14m46s'] ['38d0m0s', '124d11m15s'] 0
226 0 ['38d2m42s', '124d18m17s'] ['38d2m42s', '124d14m46s'] ['38d0m0s', '124d18m17s'] ['38d0m0s', '124d14m46s'] 0
227 0 ['38d2m42s', '124d21m48s'] ['38d2m42s', '124d18m17s'] ['38d0m0s', '124d21m48s'] ['38d0m0s', '124d18m17s'] 0
228 0 ['38d2m42s', '124d25m19s'] ['38d2m42s', '124d21m48s'] ['38d0m0s', '124d25m19s'] ['38d0m0s', '124d21m48s'] 0
229 0 ['38d2m42s', '124d28m50s'] ['38d2m42s', '124d25m19s'] ['38d0m0s', '124d28m50s'] ['38d0m0s', '124d25m19s'] 0
230 0 ['38d2m42s', '124d32m21s'] ['38d2m42s', '124d28m50s'] ['38d0m0s', '124d32m21s'] ['38d0m0s', '124d28m50s'] 0
231 0 ['38d2m42s', '124d35m52s'] ['38d2m42s', '124d32m21s'] ['38d0m0s', '124d35m52s'] ['38d0m0s', '124d32m21s'] 0
232 0 ['38d2m42s', '124d39m23s'] ['38d2m42s', '124d35m52s'] ['38d0m0s', '124d39m23s'] ['38d0m0s', '124d35m52s'] 0
233 0 ['38d2m42s', '124d42m54s'] ['38d2m42s', '124d39m23s'] ['38d0m0s', '124d42m54s'] ['38d0m0s', '124d39m23s'] 0
234 0 ['38d2m42s', '124d46m25s'] ['38d2m42s', '124d42m54s'] ['38d0m0s', '124d46m25s'] ['38d0m0s', '124d42m54s'] 0
235 0 ['38d2m42s', '124d49m56s'] ['38d2m42s', '124d46m25s'] ['38d0m0s', '124d49m56s'] ['38d0m0s', '124d46m25s'] 0
236 0 ['38d2m42s', '124d53m27s'] ['38d2m42s', '124d49m56s'] ['38d0m0s', '124d53m27s'] ['38d0m0s', '124d49m56s'] 0
237 0 ['38d2m42s', '124d56m58s'] ['38d2m42s', '124d53m27s'] ['38d0m0s', '124d56m58s'] ['38d0m0s', '124d53m27s'] 0
238 0 ['38d2m42s', '125d0m29s'] ['38d2m42s', '124d56m58s'] ['38d0m0s', '125d0m29s'] ['38d0m0s', '124d56m58s'] 0
239 0 ['38d2m42s', '125d4m0s'] ['38d2m42s', '125d0m29s'] ['38d0m0s', '125d4m0s'] ['38d0m0s', '125d0m29s'] 0
0 1 ['38d5m24s', '111d3m31s'] ['38d5m24s', '111d0m0s'] ['38d2m42s', '111d3m31s'] ['38d2m42s', '111d0m0s'] 1923
1 1 ['38d5m24s', '111d7m2s'] ['38d5m24s', '111d3m31s'] ['38d2m42s', '111d7m2s'] ['38d2m42s', '111d3m31s'] 1811
2 1 ['38d5m24s', '111d10m33s'] ['38d5m24s', '111d7m2s'] ['38d2m42s', '111d10m33s'] ['38d2m42s', '111d7m2s'] 2248
3 1 ['38d5m24s', '111d14m4s'] ['38d5m24s', '111d10m33s'] ['38d2m42s', '111d14m4s'] ['38d2m42s', '111d10m33s'] 2267
4 1 ['38d5m24s', '111d17m35s'] ['38d5m24s', '111d14m4s'] ['38d2m42s', '111d17m35s'] ['38d2m42s', '111d14m4s'] 2640
5 1 ['38d5m24s', '111d21m6s'] ['38d5m24s', '111d17m35s'] ['38d2m42s', '111d21m6s'] ['38d2m42s', '111d17m35s'] 3203
6 1 ['38d5m24s', '111d24m37s'] ['38d5m24s', '111d21m6s'] ['38d2m42s', '111d24m37s'] ['38d2m42s', '111d21m6s'] 3355
7 1 ['38d5m24s', '111d28m8s'] ['38d5m24s', '111d24m37s'] ['38d2m42s', '111d28m8s'] ['38d2m42s', '111d24m37s'] 3387
8 1 ['38d5m24s', '111d31m39s'] ['38d5m24s', '111d28m8s'] ['38d2m42s', '111d31m39s'] ['38d2m42s', '111d28m8s'] 3401
9 1 ['38d5m24s', '111d35m10s'] ['38d5m24s', '111d31m39s'] ['38d2m42s', '111d35m10s'] ['38d2m42s', '111d31m39s'] 3428
10 1 ['38d5m24s', '111d38m41s'] ['38d5m24s', '111d35m10s'] ['38d2m42s', '111d38m41s'] ['38d2m42s', '111d35m10s'] 3201
11 1 ['38d5m24s', '111d42m12s'] ['38d5m24s', '111d38m41s'] ['38d2m42s', '111d42m12s'] ['38d2m42s', '111d38m41s'] 3169
12 1 ['38d5m24s', '111d45m43s'] ['38d5m24s', '111d42m12s'] ['38d2m42s', '111d45m43s'] ['38d2m42s', '111d42m12s'] 3141
13 1 ['38d5m24s', '111d49m14s'] ['38d5m24s', '111d45m43s'] ['38d2m42s', '111d49m14s'] ['38d2m42s', '111d45m43s'] 3028
14 1 ['38d5m24s', '111d52m45s'] ['38d5m24s', '111d49m14s'] ['38d2m42s', '111d52m45s'] ['38d2m42s', '111d49m14s'] 2976
15 1 ['38d5m24s', '111d56m16s'] ['38d5m24s', '111d52m45s'] ['38d2m42s', '111d56m16s'] ['38d2m42s', '111d52m45s'] 2885
16 1 ['38d5m24s', '111d59m47s'] ['38d5m24s', '111d56m16s'] ['38d2m42s', '111d59m47s'] ['38d2m42s', '111d56m16s'] 2217
17 1 ['38d5m24s', '112d3m18s'] ['38d5m24s', '111d59m47s'] ['38d2m42s', '112d3m18s'] ['38d2m42s', '111d59m47s'] 2449
18 1 ['38d5m24s', '112d6m49s'] ['38d5m24s', '112d3m18s'] ['38d2m42s', '112d6m49s'] ['38d2m42s', '112d3m18s'] 2731
19 1 ['38d5m24s', '112d10m20s'] ['38d5m24s', '112d6m49s'] ['38d2m42s', '112d10m20s'] ['38d2m42s', '112d6m49s'] 3096
20 1 ['38d5m24s', '112d13m51s'] ['38d5m24s', '112d10m20s'] ['38d2m42s', '112d13m51s'] ['38d2m42s', '112d10m20s'] 3241
21 1 ['38d5m24s', '112d17m22s'] ['38d5m24s', '112d13m51s'] ['38d2m42s', '112d17m22s'] ['38d2m42s', '112d13m51s'] 2780
22 1 ['38d5m24s', '112d20m53s'] ['38d5m24s', '112d17m22s'] ['38d2m42s', '112d20m53s'] ['38d2m42s', '112d17m22s'] 2621
23 1 ['38d5m24s', '112d24m24s'] ['38d5m24s', '112d20m53s'] ['38d2m42s', '112d24m24s'] ['38d2m42s', '112d20m53s'] 2389
24 1 ['38d5m24s', '112d27m55s'] ['38d5m24s', '112d24m24s'] ['38d2m42s', '112d27m55s'] ['38d2m42s', '112d24m24s'] 2470
25 1 ['38d5m24s', '112d31m26s'] ['38d5m24s', '112d27m55s'] ['38d2m42s', '112d31m26s'] ['38d2m42s', '112d27m55s'] 2588
26 1 ['38d5m24s', '112d34m57s'] ['38d5m24s', '112d31m26s'] ['38d2m42s', '112d34m57s'] ['38d2m42s', '112d31m26s'] 2669
27 1 ['38d5m24s', '112d38m28s'] ['38d5m24s', '112d34m57s'] ['38d2m42s', '112d38m28s'] ['38d2m42s', '112d34m57s'] 2424
28 1 ['38d5m24s', '112d41m59s'] ['38d5m24s', '112d38m28s'] ['38d2m42s', '112d41m59s'] ['38d2m42s', '112d38m28s'] 2072
29 1 ['38d5m24s', '112d45m30s'] ['38d5m24s', '112d41m59s'] ['38d2m42s', '112d45m30s'] ['38d2m42s', '112d41m59s'] 2622
30 1 ['38d5m24s', '112d49m1s'] ['38d5m24s', '112d45m30s'] ['38d2m42s', '112d49m1s'] ['38d2m42s', '112d45m30s'] 2641
31 1 ['38d5m24s', '112d52m32s'] ['38d5m24s', '112d49m1s'] ['38d2m42s', '112d52m32s'] ['38d2m42s', '112d49m1s'] 2423
32 1 ['38d5m24s', '112d56m3s'] ['38d5m24s', '112d52m32s'] ['38d2m42s', '112d56m3s'] ['38d2m42s', '112d52m32s'] 2108
33 1 ['38d5m24s', '112d59m34s'] ['38d5m24s', '112d56m3s'] ['38d2m42s', '112d59m34s'] ['38d2m42s', '112d56m3s'] 2082
34 1 ['38d5m24s', '113d3m5s'] ['38d5m24s', '112d59m34s'] ['38d2m42s', '113d3m5s'] ['38d2m42s', '112d59m34s'] 2222
35 1 ['38d5m24s', '113d6m36s'] ['38d5m24s', '113d3m5s'] ['38d2m42s', '113d6m36s'] ['38d2m42s', '113d3m5s'] 2069
36 1 ['38d5m24s', '113d10m7s'] ['38d5m24s', '113d6m36s'] ['38d2m42s', '113d10m7s'] ['38d2m42s', '113d6m36s'] 2024
37 1 ['38d5m24s', '113d13m38s'] ['38d5m24s', '113d10m7s'] ['38d2m42s', '113d13m38s'] ['38d2m42s', '113d10m7s'] 2061
38 1 ['38d5m24s', '113d17m9s'] ['38d5m24s', '113d13m38s'] ['38d2m42s', '113d17m9s'] ['38d2m42s', '113d13m38s'] 1618
39 1 ['38d5m24s', '113d20m40s'] ['38d5m24s', '113d17m9s'] ['38d2m42s', '113d20m40s'] ['38d2m42s', '113d17m9s'] 1569
40 1 ['38d5m24s', '113d24m11s'] ['38d5m24s', '113d20m40s'] ['38d2m42s', '113d24m11s'] ['38d2m42s', '113d20m40s'] 1622
41 1 ['38d5m24s', '113d27m42s'] ['38d5m24s', '113d24m11s'] ['38d2m42s', '113d27m42s'] ['38d2m42s', '113d24m11s'] 1898
42 1 ['38d5m24s', '113d31m13s'] ['38d5m24s', '113d27m42s'] ['38d2m42s', '113d31m13s'] ['38d2m42s', '113d27m42s'] 2143
43 1 ['38d5m24s', '113d34m44s'] ['38d5m24s', '113d31m13s'] ['38d2m42s', '113d34m44s'] ['38d2m42s', '113d31m13s'] 2019
44 1 ['38d5m24s', '113d38m15s'] ['38d5m24s', '113d34m44s'] ['38d2m42s', '113d38m15s'] ['38d2m42s', '113d34m44s'] 2099
45 1 ['38d5m24s', '113d41m46s'] ['38d5m24s', '113d38m15s'] ['38d2m42s', '113d41m46s'] ['38d2m42s', '113d38m15s'] 2042
46 1 ['38d5m24s', '113d45m17s'] ['38d5m24s', '113d41m46s'] ['38d2m42s', '113d45m17s'] ['38d2m42s', '113d41m46s'] 2456
47 1 ['38d5m24s', '113d48m48s'] ['38d5m24s', '113d45m17s'] ['38d2m42s', '113d48m48s'] ['38d2m42s', '113d45m17s'] 2620
48 1 ['38d5m24s', '113d52m19s'] ['38d5m24s', '113d48m48s'] ['38d2m42s', '113d52m19s'] ['38d2m42s', '113d48m48s'] 2462
49 1 ['38d5m24s', '113d55m50s'] ['38d5m24s', '113d52m19s'] ['38d2m42s', '113d55m50s'] ['38d2m42s', '113d52m19s'] 2058
50 1 ['38d5m24s', '113d59m21s'] ['38d5m24s', '113d55m50s'] ['38d2m42s', '113d59m21s'] ['38d2m42s', '113d55m50s'] 2066
51 1 ['38d5m24s', '114d2m52s'] ['38d5m24s', '113d59m21s'] ['38d2m42s', '114d2m52s'] ['38d2m42s', '113d59m21s'] 2593
52 1 ['38d5m24s', '114d6m23s'] ['38d5m24s', '114d2m52s'] ['38d2m42s', '114d6m23s'] ['38d2m42s', '114d2m52s'] 2590
53 1 ['38d5m24s', '114d9m54s'] ['38d5m24s', '114d6m23s'] ['38d2m42s', '114d9m54s'] ['38d2m42s', '114d6m23s'] 2101
54 1 ['38d5m24s', '114d13m25s'] ['38d5m24s', '114d9m54s'] ['38d2m42s', '114d13m25s'] ['38d2m42s', '114d9m54s'] 2147
55 1 ['38d5m24s', '114d16m56s'] ['38d5m24s', '114d13m25s'] ['38d2m42s', '114d16m56s'] ['38d2m42s', '114d13m25s'] 2360
56 1 ['38d5m24s', '114d20m27s'] ['38d5m24s', '114d16m56s'] ['38d2m42s', '114d20m27s'] ['38d2m42s', '114d16m56s'] 2443
57 1 ['38d5m24s', '114d23m58s'] ['38d5m24s', '114d20m27s'] ['38d2m42s', '114d23m58s'] ['38d2m42s', '114d20m27s'] 2066
58 1 ['38d5m24s', '114d27m29s'] ['38d5m24s', '114d23m58s'] ['38d2m42s', '114d27m29s'] ['38d2m42s', '114d23m58s'] 1858
59 1 ['38d5m24s', '114d31m0s'] ['38d5m24s', '114d27m29s'] ['38d2m42s', '114d31m0s'] ['38d2m42s', '114d27m29s'] 1790
60 1 ['38d5m24s', '114d34m31s'] ['38d5m24s', '114d31m0s'] ['38d2m42s', '114d34m31s'] ['38d2m42s', '114d31m0s'] 2106
61 1 ['38d5m24s', '114d38m2s'] ['38d5m24s', '114d34m31s'] ['38d2m42s', '114d38m2s'] ['38d2m42s', '114d34m31s'] 2710
62 1 ['38d5m24s', '114d41m33s'] ['38d5m24s', '114d38m2s'] ['38d2m42s', '114d41m33s'] ['38d2m42s', '114d38m2s'] 2049
63 1 ['38d5m24s', '114d45m4s'] ['38d5m24s', '114d41m33s'] ['38d2m42s', '114d45m4s'] ['38d2m42s', '114d41m33s'] 1923
64 1 ['38d5m24s', '114d48m35s'] ['38d5m24s', '114d45m4s'] ['38d2m42s', '114d48m35s'] ['38d2m42s', '114d45m4s'] 1568
65 1 ['38d5m24s', '114d52m6s'] ['38d5m24s', '114d48m35s'] ['38d2m42s', '114d52m6s'] ['38d2m42s', '114d48m35s'] 1748
66 1 ['38d5m24s', '114d55m37s'] ['38d5m24s', '114d52m6s'] ['38d2m42s', '114d55m37s'] ['38d2m42s', '114d52m6s'] 1812
67 1 ['38d5m24s', '114d59m8s'] ['38d5m24s', '114d55m37s'] ['38d2m42s', '114d59m8s'] ['38d2m42s', '114d55m37s'] 1788
68 1 ['38d5m24s', '115d2m39s'] ['38d5m24s', '114d59m8s'] ['38d2m42s', '115d2m39s'] ['38d2m42s', '114d59m8s'] 1845
69 1 ['38d5m24s', '115d6m10s'] ['38d5m24s', '115d2m39s'] ['38d2m42s', '115d6m10s'] ['38d2m42s', '115d2m39s'] 2605
70 1 ['38d5m24s', '115d9m41s'] ['38d5m24s', '115d6m10s'] ['38d2m42s', '115d9m41s'] ['38d2m42s', '115d6m10s'] 2599
71 1 ['38d5m24s', '115d13m12s'] ['38d5m24s', '115d9m41s'] ['38d2m42s', '115d13m12s'] ['38d2m42s', '115d9m41s'] 1900
72 1 ['38d5m24s', '115d16m43s'] ['38d5m24s', '115d13m12s'] ['38d2m42s', '115d16m43s'] ['38d2m42s', '115d13m12s'] 1636
73 1 ['38d5m24s', '115d20m14s'] ['38d5m24s', '115d16m43s'] ['38d2m42s', '115d20m14s'] ['38d2m42s', '115d16m43s'] 1549
74 1 ['38d5m24s', '115d23m45s'] ['38d5m24s', '115d20m14s'] ['38d2m42s', '115d23m45s'] ['38d2m42s', '115d20m14s'] 1908
75 1 ['38d5m24s', '115d27m16s'] ['38d5m24s', '115d23m45s'] ['38d2m42s', '115d27m16s'] ['38d2m42s', '115d23m45s'] 1791
76 1 ['38d5m24s', '115d30m47s'] ['38d5m24s', '115d27m16s'] ['38d2m42s', '115d30m47s'] ['38d2m42s', '115d27m16s'] 1680
77 1 ['38d5m24s', '115d34m18s'] ['38d5m24s', '115d30m47s'] ['38d2m42s', '115d34m18s'] ['38d2m42s', '115d30m47s'] 1828
78 1 ['38d5m24s', '115d37m49s'] ['38d5m24s', '115d34m18s'] ['38d2m42s', '115d37m49s'] ['38d2m42s', '115d34m18s'] 2279
79 1 ['38d5m24s', '115d41m20s'] ['38d5m24s', '115d37m49s'] ['38d2m42s', '115d41m20s'] ['38d2m42s', '115d37m49s'] 2308
80 1 ['38d5m24s', '115d44m51s'] ['38d5m24s', '115d41m20s'] ['38d2m42s', '115d44m51s'] ['38d2m42s', '115d41m20s'] 3057
81 1 ['38d5m24s', '115d48m22s'] ['38d5m24s', '115d44m51s'] ['38d2m42s', '115d48m22s'] ['38d2m42s', '115d44m51s'] 2919
82 1 ['38d5m24s', '115d51m53s'] ['38d5m24s', '115d48m22s'] ['38d2m42s', '115d51m53s'] ['38d2m42s', '115d48m22s'] 2453
83 1 ['38d5m24s', '115d55m24s'] ['38d5m24s', '115d51m53s'] ['38d2m42s', '115d55m24s'] ['38d2m42s', '115d51m53s'] 2295
84 1 ['38d5m24s', '115d58m55s'] ['38d5m24s', '115d55m24s'] ['38d2m42s', '115d58m55s'] ['38d2m42s', '115d55m24s'] 1779
85 1 ['38d5m24s', '116d2m26s'] ['38d5m24s', '115d58m55s'] ['38d2m42s', '116d2m26s'] ['38d2m42s', '115d58m55s'] 1518
86 1 ['38d5m24s', '116d5m57s'] ['38d5m24s', '116d2m26s'] ['38d2m42s', '116d5m57s'] ['38d2m42s', '116d2m26s'] 1611
87 1 ['38d5m24s', '116d9m28s'] ['38d5m24s', '116d5m57s'] ['38d2m42s', '116d9m28s'] ['38d2m42s', '116d5m57s'] 2032
88 1 ['38d5m24s', '116d12m59s'] ['38d5m24s', '116d9m28s'] ['38d2m42s', '116d12m59s'] ['38d2m42s', '116d9m28s'] 2312
89 1 ['38d5m24s', '116d16m30s'] ['38d5m24s', '116d12m59s'] ['38d2m42s', '116d16m30s'] ['38d2m42s', '116d12m59s'] 2200
90 1 ['38d5m24s', '116d20m1s'] ['38d5m24s', '116d16m30s'] ['38d2m42s', '116d20m1s'] ['38d2m42s', '116d16m30s'] 1836
91 1 ['38d5m24s', '116d23m32s'] ['38d5m24s', '116d20m1s'] ['38d2m42s', '116d23m32s'] ['38d2m42s', '116d20m1s'] 2279
92 1 ['38d5m24s', '116d27m3s'] ['38d5m24s', '116d23m32s'] ['38d2m42s', '116d27m3s'] ['38d2m42s', '116d23m32s'] 2353
93 1 ['38d5m24s', '116d30m34s'] ['38d5m24s', '116d27m3s'] ['38d2m42s', '116d30m34s'] ['38d2m42s', '116d27m3s'] 2314
94 1 ['38d5m24s', '116d34m5s'] ['38d5m24s', '116d30m34s'] ['38d2m42s', '116d34m5s'] ['38d2m42s', '116d30m34s'] 2055
95 1 ['38d5m24s', '116d37m36s'] ['38d5m24s', '116d34m5s'] ['38d2m42s', '116d37m36s'] ['38d2m42s', '116d34m5s'] 1799
96 1 ['38d5m24s', '116d41m7s'] ['38d5m24s', '116d37m36s'] ['38d2m42s', '116d41m7s'] ['38d2m42s', '116d37m36s'] 1835
97 1 ['38d5m24s', '116d44m38s'] ['38d5m24s', '116d41m7s'] ['38d2m42s', '116d44m38s'] ['38d2m42s', '116d41m7s'] 2130
98 1 ['38d5m24s', '116d48m9s'] ['38d5m24s', '116d44m38s'] ['38d2m42s', '116d48m9s'] ['38d2m42s', '116d44m38s'] 2220
99 1 ['38d5m24s', '116d51m40s'] ['38d5m24s', '116d48m9s'] ['38d2m42s', '116d51m40s'] ['38d2m42s', '116d48m9s'] 1855
100 1 ['38d5m24s', '116d55m11s'] ['38d5m24s', '116d51m40s'] ['38d2m42s', '116d55m11s'] ['38d2m42s', '116d51m40s'] 2084
101 1 ['38d5m24s', '116d58m42s'] ['38d5m24s', '116d55m11s'] ['38d2m42s', '116d58m42s'] ['38d2m42s', '116d55m11s'] 1874
102 1 ['38d5m24s', '117d2m13s'] ['38d5m24s', '116d58m42s'] ['38d2m42s', '117d2m13s'] ['38d2m42s', '116d58m42s'] 1715
103 1 ['38d5m24s', '117d5m44s'] ['38d5m24s', '117d2m13s'] ['38d2m42s', '117d5m44s'] ['38d2m42s', '117d2m13s'] 1672
